id,name,party,partyLabel,votes,election,electionLabel,ranking
Q7365322,Ronald Thomas,Q9630,Labour Party (UK),22156,Q918508,General election October 1974,1
Q6776167,Martin McLaren,Q9626,Conservative Party (UK),21523,Q918508,General election October 1974,2
,E. David,Q622441,Liberal Party (UK),8914,Q918508,General election October 1974,3
Q6776167,Martin McLaren,Q9626,Conservative Party (UK),21569,Q119524,General election February 1974,1
Q7365322,Ronald Thomas,Q9630,Labour Party (UK),20919,Q119524,General election February 1974,2
,E. David,Q622441,Liberal Party (UK),11312,Q119524,General election February 1974,3
,T.E. Wetherall,Q327591,Independent (politician),440,Q119524,General election February 1974,4
Q6776167,Martin McLaren,Q9626,Conservative Party (UK),24124,Q918442,General election 1970,1
Q16091442,John Ellis,Q9630,Labour Party (UK),23075,Q918442,General election 1970,2
,H.J. Stevens,Q622441,Liberal Party (UK),3299,Q918442,General election 1970,3
,W.E. Williams,Q592068,Communist Party of Great Britain,227,Q918442,General election 1970,4
Q16091442,John Ellis,Q9630,Labour Party (UK),24195,Q918430,General election 1966,1
Q6776167,Martin McLaren,Q9626,Conservative Party (UK),23526,Q918430,General election 1966,2
,B. Underwood,Q592068,Communist Party of Great Britain,595,Q918430,General election 1966,3
Q6776167,Martin McLaren,Q9626,Conservative Party (UK),22129,Q220208,General election 1964,1
Q5240866,David Watkins,Q9630,Labour Party (UK),21030,Q220208,General election 1964,2
,T.G. Douglas,Q622441,Liberal Party (UK),5883,Q220208,General election 1964,3
Q6776167,Martin McLaren,Q9626,Conservative Party (UK),24938,Q918420,General election 1959,1
Q7788411,Christopher Boyd,Q9630,Labour Party (UK),23019,Q918420,General election 1959,2
Q7788411,Christopher Boyd,Q9630,Labour Party (UK),22950,Q918412,General election 1955,1
Q7527013,Gurney Braithwaite,Q9626,Conservative Party (UK),21295,Q918412,General election 1955,2
Q7527013,Gurney Braithwaite,Q9626,Conservative Party (UK),28394,Q3722280,General election 1951,1
Q5128639,Claud Morris,Q9630,Labour Party (UK),24553,Q3722280,General election 1951,2
Q7527013,Gurney Braithwaite,Q9626,Conservative Party (UK),23884,Q748667,General election 1950,1
Q5128639,Claud Morris,Q9630,Labour Party (UK),21394,Q748667,General election 1950,2
,Florence Pugh,Q622441,Liberal Party (UK),4784,Q748667,General election 1950,3
